best poster award,bester poster award,C
paragraph,Absatz,C
work,Arbeit,C
headed container,headed Behälter,C
silver sponsorship,Silber Sponsoring,C
program committee member,Programmausschussmitglied,C
manifestation,Manifestation,C
get together event,get together Veranstaltung,C
regular registration,regelmäßige Registrierung,C
proceedings,Verfahren,C
past events,vergangene Ereignisse,C
doctoral consortium,Doctoral Consortium,C
block,Block,C
resource track,Ressourcen Spur,C
author,Autor,C
early bird registration,Frühzeitige Anmeldung,C
publisher,Herausgeber,C
physical medium,physikalisches Medium,C
in use track,in Gebrauch Spur,C
keynote,Keynote,C
research track,Forschung Spur,C
agent class,Agentenklasse,C
collection,Sammlung,C
back matter,Rückenmaterie,C
table,Tabelle,C
conference poster,Konferenzposter,C
publication,Veröffentlichung,C
submission guidelines,Einreichungsrichtlinien,C
meta,Meta,C
container,Container,C
best student paper award,bester Student Paper Award,C
award,vergeben,C
poster chair,poster chair,C
structured,strukturiert,C
late registration,Nachmeldung,C
field,Feld,C
bibliographic resource,bibliografische Ressource,C
demos track,Demos Spur,C
non textual,nicht textliche,C
flyer,Flieger,C
academic event,akademische Veranstaltung,C
keynote speaker,Hauptrednerin,C
bucket,Eimer,C
student registration,Immatrikulations,C
appendix,Blinddarm,C
chair,Vorsitzender,C
sponsorship chair,sponsorship Vorsitzender,C
student,Schüler,C
chapter,Kapitel,C
abstract,abstrakt,C
error 2,Fehler 2,C
location,Standort,C
tutorial chair,Tutorial Chair,C
author registration,Autor Registrierung,C
pattern,Muster,C
event reception,Ereignisempfang,C
industrial conference,Industrie Konferenz,C
file format,Datei Format,C
error 3,Fehler 3,C
symposium,Symposium,C
expression,Ausdruck,C
bronze sponsorship,Bronze Sponsoring,C
conference proceedings,Tagungsunterlagen,C
front matter,Titelei,C
industry track,Industrie Spur,C
proceedings paper,Verfahren Papier,C
important dates,wichtige Daten,C
demo chair,demo chair,C
registration,Anmeldung,C
textual,Text-,C
gold sponsorship,Gold Sponsoring,C
best paper award,bester poster award,C
local organisation chair,Vorsitzende der örtlichen Organisation,C
invited speakers,ladenen Referenten,C
travel information,Reiseinformation,C
best applications paper award,bestes Anwendungen paper award,C
sponsor,Sponsor,C
phd symposium,phd Symposium,C
sponsorship,Patenschaft,C
discourse element,Diskurselement,C
conference paper,Konferenzpapier,C
event series,Veranstaltungsreihe,C
body matter,Körpermaterie,C
expression collection,Ausdruck Sammlung,C
program schedule,Programmplanung,C
workshop chair,workshop chair,C
program chair,program chair,C
research field,Forschungsfeld,C
organizer,Veranstalter,C
period of time,Zeitspanne,C
section,Sektion,C
agent,Agent,C
popup,Pop-up,C
media type,Medientyp,C
working paper,Arbeitspapier,C
doctoral consortium chair,Doctoral Consortium Stuhl,C
challenge track,Herausforderung Spur,C
symposium series,Symposium Serie,C
jurisdiction,Zuständigkeit,C
platinum sponsorship,Platin Sponsoring,C
reviewer,Rezensent,C
posters track,Poster Spur,C
general chair,General chair,C
honor chair,Ehre chair,C
license document,Lizenzdokument,C
on site registration,vor Ort Registrierung,C
part,Teil,P
contains,enthält,P
mediator,Vermittler,P
keynote in,Keynote in,P
requires,erfordert,P
has social event,hat gesellschaftliches Ereignis,P
spatial,räumlich,P
has sponsor,hat Sponsor,P
issued,problematisch,P
available,verfügbar,P
belongs to proceedings,gehört zur Verhandlung,P
has publisher,hat Verleger,P
is publisher of,ist Herausgeber von,P
type,Art,P
embodiment,Verkörperung,P
part of,Teil von,P
held in country,in Land statt,P
has version,hat Version,P
medium,Mittel,P
provides travel information,bietet Reiseinformationen,P
replaces,Ersetzt,P
publisher,Herausgeber,P
submission deadline,Einsendeschluss,P
license,Lizenz,P
has twitter,hat twitter,P
rights,Rechte,P
date copyrighted,Datum urheberrechtlich geschützt,P
instructional method,Unterrichtsmethode,P
is format of,ist Format,P
is rule enabled,Regel aktiviert ist,P
title,Titel,P
has chair,hat chair,P
has submission guidelines,hat Richtlinien für die Einreichung,P
relation,Beziehung,P
temporal,temporal,P
date accepted,Datum akzeptiert,P
offers award,bietet preis,P
is referenced by,referenziert von,P
contributor,Beiträger,P
is track of,"wird verfolgen,",P
abstract deadline,abstrakt Frist,P
valid,gültig,P
references,Verweise,P
has duration,hat Dauer,P
table of contents,Inhaltsverzeichnis,P
is sponsor of,ist Sponsor von,P
extent,Umfang,P
abstract,abstrakt,P
modified,geändert,P
colocated with,colocated mit,P
coverage,Berichterstattung,P
held in city,in der Stadt gehalten,P
accepted papers,akzeptierte Papiere,P
has flyer,hat Flyer,P
note,Hinweis,P
has temporal duration,hat zeitliche Dauer,P
bibliographic citation,bibliographische Zitierung,P
conforms to,entspricht,P
created,erstellt,P
has proceedings,hat Verfahren,P
rights holder,Rechteinhaber,P
has event,bietet Veranstaltungs,P
is part of,ist ein Teil von,P
is replaced by,wird ersetzt durch,P
provenance,Herkunft,P
submitted papers,eingereichten Papiere,P
alternative,Alternative,P
belongs to series,gehört zur Serie,P
accrual policy,Abgrenzungspolitik,P
accrual method,Abgrenzungsmethode,P
contains as header,enthält als Kopf,P
has part,hat Teil,P
date submitted,Datum eingereicht,P
notification date,Benachrichtigungsdatum,P
has format,hat Format,P
has appendix,hat Anhang,P
registered as,als Groß,P
description,Beschreibung,P
language,Sprache,P
access rights,Zugangsrechte,P
format,Format,P
has track,hat Spur,P
takes award,nimmt Auszeichnung,P
is required by,"ist erforderlich, um",P
audience,Publikum,P
date,Datum,P
has program schedual,hat Programm schedual,P
has registration type,hat Registrierungsart,P
realization of,Realisierung von,P
is contained by,"enthalten ist, durch",P
identifier,Kennzeichnung,P
creator,Schöpfer,P
has keynote,hat Keynote,P
source,Quelle,P
accrual periodicity,perioden Periodizität,P
participates as,partizipiert als,P
event website,Event-Website,P
offers best paper award,bietet Best Paper Award,P
keywords,Schlüsselwörter,P
has important dates,hat wichtige Termine,P
cite,zitieren,P
participates in,Beteiligt sich an,P
sponsorship type,Sponsoring-Typ,P
has affiliation,hat Zugehörigkeit,P
subject,Gegenstand,P
has registration,hat Registrierung,P
acceptance rate,Akzeptanzrate,P
submission web page,Vorlage Web-Seite,P
has program committee member,hat Programmausschussmitglied,P
realization,Realisierung,P
is version of,ist Version,P
education level,Bildungsniveau,P